Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.82     0.00  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_decrementable() const
  0.00      0.82     0.00  1393571     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<long long*, std::__cxx1998::vector<long long, std::allocator<long long> > >, std::__debug::vector<long long, std::allocator<long long> > >::base() const
  0.00      0.82     0.00  1313858     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::operator++()
  0.00      0.82     0.00  1313858     0.00     0.00  __gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >::operator++()
  0.00      0.82     0.00  1313858     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >::operator++()
  0.00      0.82     0.00  1313858     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_incrementable() const
  0.00      0.82     0.00  1313858     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_incrementable() const
  0.00      0.82     0.00  1195160     0.00     0.00  bool __gnu_cxx::operator==<main::Entry const*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >(__gnu_cxx::__normal_iterator<main::Entry const*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > > const&, __gnu_cxx::__normal_iterator<main::Entry const*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > > const&)
  0.00      0.82     0.00  1195160     0.00     0.00  std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> >::end() const
  0.00      0.82     0.00  1195160     0.00     0.00  std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> >::begin() const
  0.00      0.82     0.00   872880     0.00     0.00  std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> >::end()
  0.00      0.82     0.00   836137     0.00     0.00  std::__debug::vector<long long, std::allocator<long long> >::_M_base()
  0.00      0.82     0.00   772276     0.00     0.00  bool __gnu_cxx::operator==<main::Query const*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >(__gnu_cxx::__normal_iterator<main::Query const*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > > const&, __gnu_cxx::__normal_iterator<main::Query const*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > > const&)
  0.00      0.82     0.00   772276     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::end() const
  0.00      0.82     0.00   772276     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::begin() const
  0.00      0.82     0.00   772276     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::empty() const
  0.00      0.82     0.00   765454     0.00     0.00  __gnu_cxx::__normal_iterator<main::Entry*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >::operator*() const
  0.00      0.82     0.00   765454     0.00     0.00  __gnu_cxx::__normal_iterator<main::Entry*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >::operator-(long) const
  0.00      0.82     0.00   765454     0.00     0.00  std::__debug::vector<main::Entry, std::allocator<main::Entry> >::back()
  0.00      0.82     0.00   765454     0.00     0.00  std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> >::back()
  0.00      0.82     0.00   575452     0.00     0.00  bool __gnu_cxx::operator< <main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >(__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > > const&, __gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > > const&)
  0.00      0.82     0.00   575452     0.00     0.00  bool __gnu_cxx::operator< <int*, std::__cxx1998::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > > const&)
  0.00      0.82     0.00   575452     0.00     0.00  void std::swap<main::Query>(main::Query&, main::Query&)
  0.00      0.82     0.00   575452     0.00     0.00  void std::swap<int>(int&, int&)
  0.00      0.82     0.00   575452     0.00     0.00  void std::iter_swap<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >)
  0.00      0.82     0.00   575452     0.00     0.00  void std::iter_swap<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >, __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >)
  0.00      0.82     0.00   557443     0.00     0.00  long long&& std::forward<long long>(std::remove_reference<long long>::type&)
